human_gene	chicken_gene
PRKAR1A	PRKAR1A
ARHGAP18	ARHGAP18
LRRC3B	LRRC3B
CIBAR1	FAM92A
PAAF1	PAAF1
SLX4	SLX4
RAPH1	RAPH1
GASK1A	FAM198A
CIT	CIT
SDR42E2	SDR42E2
SHQ1	SHQ1
RIPOR2	FAM65B
CKMT1A	CKMT1B
ATP1B3	ATP1B3
ADHFE1	ADHFE1
ALKBH5	ALKBH5
CCL5	CCL5
LIX1	LIX1
AIFM3	AIFM3
PPWD1	PPWD1
PFN2	PFN2
MPP1	MPP1
CYFIP1	CYFIP1
INO80D	INO80D
ATR	ATR
NTNG2	NTNG2
ARID1B	ARID1B
ATP10B	ATP10B
GNG13	GNG13
MATN3	MATN3
TMEM138	TMEM138
SEPTIN12	SEPTIN12
NINJ1	NINJ1
CWC15	CWC15
RGN	RGN
PXDN	PXDN
PITPNM3	PITPNM3
MAN1B1	MAN1B1
MIDN	MIDN
KCNE3	KCNE3
CCNE1	CCNE1
KIAA0753	KIAA0753
GABRG2	GABRG2
EFR3B	EFR3B
ARHGEF6	ARHGEF6
MED31	MED31
CADM1	CADM1
OSTF1	OSTF1
ADAM28	ADAMDEC1
HDDC2	HDDC2
MBTPS1	MBTPS1
KSR1	KSR1
SIAH2	SIAH2
TAMM41	TAMM41
E2F3	E2F3
SSH2	SSH2
PEX7	PEX7
TOPORS	TOPORS
FKBP15	FKBP15
CYBRD1	CYBRD1
CCDC34	CCDC34
ARID3A	ARID3A
SEC61A1	SEC61A1
EGR4	EGR4
TASL	CXorf21
ANO1	ANO1
COL5A2	COL5A2
CSGALNACT1	CSGALNACT1
ZNF135	ZKSCAN7
WNT16	WNT16
SPNS3	SPNS3
AQR	AQR
SIMC1	SIMC1
POC1B	POC1B
H2BC11	H2BC32
TUBB2A	TUBB2A
TUBB2A	TUBB2B
AMD1	AMD1
CD200	CD200
VLDLR	VLDLR
SLC4A2	SLC4A2
PPP1CA	PPP1CA
SMC4	SMC4
SMS	SMS
LIMK2	LIMK2
YJU2B	YJU2B
HARS2	HARS1
HARS2	HARS2
SLC23A3	SLC23A3
GABBR2	GABBR2
MLYCD	MLYCD
WNK1	WNK1
CASK	CASK
ANTKMT	FAM173A
TIMM13	TIMM13
ABCB11	ABCB11
FAM168A	FAM168A
HSD11B2	HSD11B2
ALDH1A2	ALDH1A2
GPATCH1	GPATCH1
CDPF1	CDPF1
ENKD1	ENKD1
ASPH	ASPH
SETX	SETX
RBKS	RBKS
MRPL48	MRPL48
SOCS1	SOCS1
ZNF319	ZNF319
IL17RA	IL17RA
EPAS1	EPAS1
MRPL54	MRPL54
SMKR1	SMKR1
MT1M	MT4
SYCE2	SYCE2
GDE1	GDE1
LAMB4	LAMB4
GGTLC3	GGT2
CAPN5	OMP
DNAJC17	DNAJC17
TBC1D10A	TBC1D10A
NDFIP1	NDFIP1
SEMA4D	SEMA4D
STRADB	STRADB
CLEC18C	CLEC18B
CCDC112	CCDC112
MRPL47	MRPL47
THAP5	THAP5
PFDN6	PFDN6
KCNH8	KCNH8
DPP8	DPP8
SMIM10L3	SMIM10L1
THSD7A	THSD7A
COX7A2	COX7A2
DTWD2	DTWD2
RBM17	RBM17
UBXN7	UBXN7
BRD9	BRD9
ARFIP2	ARFIP2
DYNLT2	TCTE3
MOXD1	MOXD1
STXBP5L	STXBP5L
ZNRF3	ZNRF3
THAP4	THAP4
GRAPL	GRAPL
DTX1	DTX1
SCUBE3	SCUBE3
RANGAP1	RANGAP1
ITIH5	ITIH5
NOXO1	NOXO1
IL18RAP	IL18RAP
GABARAPL1	GABARAPL1
NUP153	NUP153
FAM237A	FAM237A
EFHD1	EFHD1
SNRPF	SNRPF
PANX1	PANX1
CFAP20DC	C3orf67
BRAP	BRAP
MEF2C	MEF2C
KATNIP	KATNIP
FBLN7	FBLN7
PTGR1	PTGR1
CIMIP5	C2orf50
LDB3	LDB3
ATXN7	ATXN7
POP5	POP5
FBXO39	FBXO39
TEKT1	TEKT1
CBX5	CBX5
CRACDL	CRACDL
UBE2M	UBE2M
GTPBP8	GTPBP8
CCSER2	CCSER2
ASB1	ASB1
RBP1	RBP1
DNAH17	DNAH17
PNO1	PNO1
TFCP2	TFCP2
POC1A	POC1A
LBX1	LBX1
FBXW4	FBXW4
TFEB	TFEB
STEAP3	STEAP3
ANKRD1	ANKRD1
TGFA	TGFA
SLC6A2	SLC6A2
LASP1NB	LASP1NB
FBXO47	FBXO47
HSF5	HSF5
TRA2B	TRA2B
ZNF438	ZNF438
CHKA	CHKA
RFTN2	RFTN2
CCDC59	CCDC59
MRRF	MRRF
ANKRD39	ANKRD39
GMIP	GMIP
SCNN1A	SCNN1A
MRPS25	MRPS25
POLE4	POLE4
SPR	SPR
ZDHHC13	ZDHHC13
PRF1	PRF1
COL4A3	COL4A3
KCNIP2	KCNIP2
CACNG5	CACNG5
DCAF1	DCAF1
ANKRD44	ANKRD44
HBA2	HBA1
TMEM41B	TMEM41B
CHMP5	CHMP5
NATD1	NATD1
PRKAR2A	PRKAR2A
MT1H	MT4
CTU2	CTU2
CSRNP3	CSRNP3
ARMC2	ARMC2
PHF24	PHF24
UNG	UNG
RFLNB	RFLNB
ART5	ART1
TCF12	TCF12
CORO2A	CORO2A
HNRNPM	HNRNPM
CD300C	CD300LG
CD300C	KRABZFP
CEP126	CEP126
HOXB13	HOXB13
XRN1	XRN1
KDM4C	KDM4C
TPP1	TPP1
GIP	GIP
PITPNM2	PITPNM2
PHF6	PHF6
PRKCE	PRKCE
MILR1	MILR1
CDH11	CDH11
C1QL1	C1QL1
KCNIP3	KCNIP3
GHRHR	GHRHR
CHPT1	CHPT1
GPR34	GPR34
RPS6	RPS6
NLRC3	NLRC3
HEPH	HEPH
FAM171A1	FAM171A1
MGAM	SI
MGAM	MGAM
PROM2	PROM2
GTSF1	GTSF1
KNDC1	KNDC1
TMEM186	TMEM186
FARSA	FARSA
COX6A1	COX6A1
VPS33A	VPS33A
UBQLN1	UBQLN1
MGAM2	SI
MGAM2	MGAM
MGAM2	GAA2
SLK	SLK
SYNGR3	SYNGR3
PCF11	PCF11
SLC22A16	DDO
IGSF6	IGSF6
CACNA2D2	CACNA2D2
GNG7	GNG7
PCMT1	PCMT1
MOSMO	C16orf52
PCLO	PCLO
PRSS22	TMPRSS12
TP53INP2	TP53INP2
HIKESHI	HIKESHI
SLC2A6	SLC2A6
RRN3	RRN3
RNF144B	RNF144B
GATAD1	GATAD1
ASIP	ASIP
ATN1	ATN1
RTEL1	RTEL1
RBM48	RBM48
ZPR1	ZPR1
CFAP144P1	FAM183A
DYSF	DYSF
TRIAP1	TRIAP1
HBA1	HBA1
PIGO	PIGO
PMEL	PMEL
SCNN1G	SCNN1G
HERC4	HERC4
UNKL	UNKL
HRAS	HRAS
KANK1	KANK1
CUX2	CUX2
CACNG3	CACNG3
FADD	FADD
VWA3A	VWA3A
PPFIBP2	PPFIBP2
AHI1	AHI1
WASHC3	CCDC53
VKORC1	VKORC1
GCSH	GCSH
TMEM259	TMEM259
NANOG	NANOG
ARL6IP5	ARL6IP5
MAPK1	MAPK3
B4GALNT3	B4GALNT3
MYNN	MYNN
ACSM2B	ACSS1B
NT5DC3	NT5DC3
KIF7	KIF7
ZCRB1	ZCRB1
MIEF1	MIEF1
TAGLN3	TAGLN3
SLC38A4	SLC38A4
TRMU	TRMU
GRM2	GRM2
DROSHA	DROSHA
RPL29	RPL29
PRPS1L1	PRPS1L1
NOBOX	NOBOX
POLR2C	POLR2C
NOM1	NOM1
YEATS2	YEATS2
TFAP4	TFAP4
KLHDC10	KLHDC10
SLC24A3	SLC24A3
ARRDC4	ARRDC4
KIZ	KIZ
ARSA	ARSA
SLC26A3	SLC26A3
UBE2N	UBE2N
GAN	GAN
GABPB1	GABPB1
GINS3	GINS3
ARPC3	ARPC3
NDUFAB1	NDUFAB1
UTP14A	UTP14A
WASHC4	WASHC4
PHETA2	FAM109B
CYP2D6	CYP2D6
NKIRAS1	NKIRAS1
PGM3	PGM3
B3GNT9	B3GNT9
CDH17	CDH17
ERN2	ERN2
TMEM164	TMEM164
MINDY4	FAM188B
PSMD2	PSMD2
NXT2	NXT2
CHLSN	C7orf50
NLGN3	NLGN3
ADAMTS20	ADAMTS20
GAL	GAL
OMD	OMD
NTMT1	NTMT1
MATCAP2	KIAA0895
TALDO1	TALDO1
NAPB	NAPB
CCPG1	CCPG1
FAM199X	FAM199X
MKRN1	MKRN4P
PFDN5	PFDN5
CES3	CES1L1
CES3	CES1L2
CD99	CD99
USP20	USP20
AIP	AIP
ARFGEF2	ARFGEF2
RNF185	RNF5
MYLK4	MYLK4
C1QTNF8	C1QTNF8
RPL30	RPL30
ARHGAP17	ARHGAP17
METTL25	METTL25
CPEB3	CPEB3
ATOSA	FAM214A
UBE2J1	UBE2J1
SIRT2	SIRT2
MLXIPL	MLXIPL
TNPO1	TNPO1
SERAC1	SERAC1
OSR2	OSR2
DNAL4	DNAL4
KRR1	KRR1
IDH3B	IDH3B
CCDC134	CCDC134
PABPC1	PABPC1
GSTT2B	GSTT1
USP54	USP54
PARVG	PARVG
DAXX	DAXX
ACSM1	ACSS1B
ANKRD42	ANKRD42
SH2B3	SH2B3
FLRT3	FLRT3
PIGB	PIGB
DSN1	DSN1
FA2H	FA2H
CTSC	CTSC
TULP3	TULP3
IL13RA2	IL13RA2
LRRTM1	LRRTM1
MEF2A	MEF2A
SATB1	SATB1
MAL	MAL
GYG2	GYG2
RBM14	RBM14
NDUFA13	NDUFA13
POLR2L	POLR2L
SPP2	SPP2
EP400	EP400
CDK2AP2	CDK2AP2
SVIL	SVIL
NARS2	NARS2
P4HA2	P4HA2
TMEM204	TMEM204
CLEC18B	CLEC18B
CDYL	CDYL
IKZF4	IKZF4
PIP5K1B	PIP5K1B
MAB21L4	MAB21L4
VWC2	VWC2
SNX20	SNX20
COMT	COMT
HECW1	HECW1
HSD17B2	HSD17B2
IPO8	IPO8
TUBA4A	TUBAL3
TBC1D22B	TBC1D22B
STX7	STX7
BCO1	BCO1
ERMN	ERMN
SNX29	SNX29
LONRF1	LONRF1
MXD1	MXD1
PLIN5	PLIN3
PLIN5	PLIN5
PLIN5	PLIN4
RAF1	RAF1
FADS1	FADS1
ACAT2	ACAT2
CYP3A4	CYP3A4
CYP3A4	CYP3A5
MT1X	MT4
CLTCL1	CLTCL1
CDH5	CDH5
BAZ2A	BAZ2A
ERI1	ERI1
GCNT2	GCNT2
GATA4	GATA4
PLEKHM3	PLEKHM3
RAB11FIP5	RAB11FIP5
CNTFR	CNTFR
LRP11	LRP11
FBXO30	FBXO30
AGPAT1	PRR29
AGPAT1	AGPAT1
NUP160	NUP160
ADI1	ADI1
PLCXD1	PLCXD1
AFF4	AFF4
USB1	USB1
XDH	XDH
AGMO	AGMO
RANBP3L	RANBP3L
ADGRG5	ADGRG5
DNAJB9	DNAJB9
IGFALS	IGFALS
BLCAP	BLCAP
ASS1	ASS1
ELL2	ELL2
CYB5R4	CYB5R4
PHC1	PHC1
FIGN	FIGN
SLC12A3	SLC12A3
SNRPB	SNRPN
IPO11	IPO11
TFCP2L1	TFCP2L1
HDAC8	HDAC8
PRKAG2	PRKAG2
SNPH	SNPH
SEMA4B	SEMA4B
ZGPAT	ZGPAT
DPP4	DPP4
SLC12A7	SLC12A7
SOD2	SOD2
PRODH	PRODH
HPGDS	HPGDS
CFAP96	C4orf47
DIMT1	DIMT1
TRAM1	TRAM1L1
ATOH8	ATOH8
SVOPL	SVOPL
USO1	USO1
MAT2A	MAT2L2
NPAT	NPAT
AZGP1	MHCY15
AZGP1	MHCY6
AZGP1	MHCY7
AZGP1	MHCY4
AZGP1	BF2
AZGP1	BF1
AZGP1	MHCY11
AZGP1	MHCYL
STK11	STK11
PSIP1	PSIP1
SPOPL	SPOPL
NADSYN1	NADSYN1
CPAMD8	CPAMD8
SGK3	SGK3
PAX4	PAX4
TIA1	TIA1
JCHAIN	JCHAIN
CSNK1G1	CSNK1G1
SLC38A9	SLC38A9
CORO7	CORO7
LARGE1	LARGE1
MAP3K7	MAP3K7
ELMO2	ELMO2
WIPF3	WIPF3
G3BP2	G3BP2
AQP1	AQP1
HHLA2	HHLA2
VIM	VIM
STMP1	C7orf73
ZNF740	ZNF740
GRIA4	GRIA4
SUGCT	SUGCT
PUS7L	PUS7L
PHKA1	PHKA1
C9orf78	C9orf78
ABCG8	ABCG8
CYP3A43	CYP3A4
CYP3A43	CYP3A5
COL5A1	COL5A1
PIM3	PIM3
ACTA2	ACTA2
TESMIN	TESMIN
ABCG5	ABCG5
CBARP	CBARP
HTR3A	HTR3A
ERC2	ERC2
CDKN1A	CDKN1A
MAP3K2	MAP3K2
GGA2	GGA2
ELK3	ELK3
POLE	POLE
BST1	BST1
LNP1	LNP1
NIM1K	NIM1K
SPDEF	SPDEF
TEX264	TEX264
TAF1D	TAF1D
PJA2	PJA2
RLIM	RLIM
UBL7	UBL7
ANAPC2	ANAPC2
MTPN	MTPN
PCBD1	PCBD1
SNCB	SNCB
PKIB	PKIB
CPLX1	CPLX1
ING3	ING3
ZFAND4	ZFAND4
SRD5A2	SRD5A2
MIR21	gga-mir-21
TMED6	TMED6
SGMS2	SGMS2
HYLS1	HYLS1
GAD1	GAD1
PUS3	PUS3
CENATAC	CCDC84
YKT6	YKT6
TXNDC11	TXNDC11
HADH	HADH
PPP6R2	PPP6R2
MIR33B	gga-mir-33-2
ATPAF2	ATPAF2
LGR4	LGR4
NR5A1	NR5A1
RAB24	RAB24
BEND3	BEND3
TMEM19	TMEM19
MKRN2	MKRN2
ACSM5	ACSM5
AGR3	AGR3
PRTFDC1	PRTFDC1
MYO15A	MYO15A
PCMTD1	PCMTD1
XPO5	XPO5
ATG101	ATG101
SPTSSB	SPTSSB
TGFBR2	TGFBR2
NCBP1	NCBP1
CACUL1	CACUL1
MAU2	MAU2
HTATSF1	HTATSF1
ABCB8	ABCB8
CUL5	CUL5
MANSC1	MANSC1
PRKG2	PRKG2
MICU3	MICU3
ARFRP1	ARFRP1
PPM1H	PPM1H
SHOC2	SHOC2
ACTL6A	ACTL6A
SLCO1A2	SLCO1A2
RAD23A	RAD23A
ABAT	ABAT
THAP12	THAP12
DDX3X	DDX3X
AGXT2	AGXT2
DPF2	DPF2
FBXL5	FBXL5
LRRC14	LRRC14
NR1D1	NR1D1
DEK	DEK
PAPSS2	PAPSS2
RAPGEFL1	RAPGEFL1
PEX16	PEX16
ELOC	TCEB1
KYAT3	KYAT3
NCOR2	NCOR2
TMOD1	TMOD1
TMEM130	TMEM130
VANGL2	VANGL2
EIF3A	EIF3A
SDHD	SDHD
TNFRSF6B	TNFRSF6B
PHC3	PHC3
RAMP3	RAMP3
GHRH	GHRH
ACSM2A	ACSS1B
SLC2A10	SLC2A10
C7orf57	C7orf57
TRIM7	TRIM7.1
ACSS1	ACSS1A
ILRUN	C6orf106
POU3F1	POU3F1
PLEKHF1	PLEKHF1
ALKBH4	ALKBH4
RFXANK	RFXANK
TMEM196	TMEM196
EYA4	EYA4
JADE2	JADE2
NIBAN2	FAM129B
CYP3A5	CYP3A4
CYP3A5	CYP3A5
TRNP1	TRNP1
CCS	CCS
GATB	GATB
TARS3	TARSL2
SLC16A9	SLC16A9
SLA	SLA
STIP1	STIP1
SALL1	SALL1
ZNF518A	ZNF518A
DCTN5	DCTN5
ERI2	ERI2
SFSWAP	SFSWAP
PCK1	PCK1
TSTD2	TSTD2
ZAP70	ZAP70
AKR1D1	AKR1D1
RAP1GDS1	RAP1GDS1
SEPHS1	SEPHS1
DBNDD2	DBNDD2
PAM16	PAM16
AGTPBP1	AGTPBP1
AAGAB	AAGAB
ARMC8	ARMC8
PPP2R2B	PPP2R2B
CTDSP1	CTDSP1
INSIG1	INSIG1
MTDH	MTDH
KIF5A	KIF5A
CALCR	CALCR
HAS3	HAS3
EEF1AKMT2	METTL10
STRA6	STRA6
GPR55	GPR55
PARP11	PARP11
TOX3	TOX3
SLC35F6	SLC35F6
OLAH	OLAH
SULF2	SULF2
ADAM32	ADAM32
ADAM32	ADAM32L1
ADAM32	ADAM32L2
SSRP1	SSRP1
UPP2	UPP2
MAGOHB	MAGOH
PNLDC1	PNLDC1
POLR2D	POLR2D
MEIG1	MEIG1
RHOBTB1	RHOBTB1
EPHA4	EPHA4
ULK1	ULK1
ITPRID1	CCDC129
PIM1	PIM1
NR2F6	NR2F6
SHKBP1	SHKBP1
FAM114A2	FAM114A2
NSFL1C	NSFL1C
SLC26A4	SLC26A4
GSE1	GSE1
LRP6	LRP6
FBXL15	FBXL15
SIK2	SIK2
COG5	COG5
GLRX3	GLRX3
PATL1	PATL1
SLC26A7	SLC26A7
TBP	TBP
MYT1L	MYT1L
CLTA	CLTA
RRAGB	RRAGA
CCDC146	CCDC146
SAAL1	SAAL1
MYLK2	MYLK2
DCLRE1C	DCLRE1C
APRT	APRT
NONO	NONO
FHL5	FHL5
MED27	MED27
SGK1	SGK1
SPTLC3	SPTLC3
KRAS	KRAS
ANKEF1	ANKEF1
MARF1	MARF1
CEP290	CEP290
KIAA1958	KIAA1958
DZANK1	DZANK1
AGPAT2	AGPAT2
ARL16	ARL16
HEPACAM2	HEPACAM2
TOR2A	TOR2A
MRM2	MRM2
SEMA3E	SEMA3E
MAPK9	MAPK9
TPM2	TPM2
ETV5	ETV5
MMAA	MMAA
WDR73	WDR73
UBE2W	UBE2W
CAV2	CAV2
SLC2A14	SLC2A11L1
NRSN1	NRSN1
ASB5	ASB5
SNRNP48	SNRNP48
LSMEM1	LSMEM1
COA4	COA4
PON1	PON1
LYAR	LYAR
CHGB	CHGB
MLLT1	MLLT1
DDX10	DDX10
TM6SF1	TM6SF1
SYS1	SYS1
ALAS1	ALAS1
NR2C2AP	NR2C2AP
ZNF76	ZNF76
KPNA7	KPNA7
MYOM2	MYOM2
MFSD8	MFSD8
POLR2J	POLR2J
LRRC19	LRRC19
TERF2IP	TERF2IP
CSE1L	CSE1L
SYPL1	SYPL1
HSPA9	HSPA9
CERCAM	CERCAM
VPS51	VPS51
RAD51	RAD51
POLR3K	POLR3K
PRR35	PRR35
KIF5B	KIF5B
SDK2	SDK2
ZNF646	ZNF646
TESC	TESC
MCRIP2	MCRIP2
SLC35E3	SLC35E3
UBN2	UBN2
CSTPP1	C11orf49
STXBP6	STXBP6
IRAG2	IRAG2
ITGB8	ITGB8
LYPD1	LYPD1
HHATL	HHATL
AAK1	AAK1
POM121	POM121C
ISLR	ISLR
IDH2	IDH2
RELT	RELT
SBF1	SBF1
EGFR	EGFR
INVS	INVS
GPD2	GPD2
SIX1	SIX1
CPSF7	CPSF7
NFS1	NFS1
DISP2	DISP2
CFDP1	CFDP1
DUT	DUT
ARL6IP1	ARL6IP1
M6PR	M6PR
EPHX2	EPHX2
SUSD6	SUSD6
CISD1	CISD1
SNRPA1	SNRPA1
SORBS2	SORBS2
MT1F	MT4
TRUB1	TRUB1
CHAC2	CHAC2
WDR36	WDR36
TMEM245	TMEM245
AMDHD2	AMDHD2
ANTXR1	ANTXR1
PAPOLA	PAPOLB
MTG1	MTG1
AURKA	AURKB
TRIM39	TRIM58
CREB3L2	CREB3L2
TMBIM6	TMBIM6
PLCB2	PLCB2
U2SURP	U2SURP
PRRG1	PRRG1
ZNF346	ZNF346
TRDMT1	TRDMT1
TMEM132E	TMEM132E
TFPI2	TFPI2
FXYD6	FXYD6
MOSPD1	MOSPD1
CD7	CD7
TYW1B	TYW1
ZUP1	ZUFSP
KLF8	KLF8
FBXL4	FBXL4
PON3	PON1
CSNK1E	CSNK1E
PCSK1	PCSK1
HNMT	HNMT
EPB41L4B	EPB41L4B
BCLAF1	BCLAF1
TCF7L2	TCF7L2
MYO7B	MYO7B
NPTX2	NPTX2
HNRNPH1	HNRNPH1
ZPBP	ZPBP1
TSC22D2	TSC22D2
NDUFAF1	NDUFAF1
MEOX2	MEOX2
RADIL	RADIL
CSPP1	CSPP1
ISG20	AEN
SCAI	SCAI
PPARG	PPARG
FSCN1	FSCN1
TRIP4	TRIP4
IST1	IST1
HS1BP3	HS1BP3
HYCC1	FAM126A
ZNF830	ZNF830
HIPK2	HIPK2
ICOS	ICOS
TMEM8B	TMEM8B
IGFBP3	IGFBP3
ALG12	ALG12
BNIP2	BNIP2
MBIP	MBIP
PRICKLE3	PRICKLE4
BSPRY	BSPRY
ZBTB26	ZBTB26
NF1	NF1
LIMK1	LIMK1
EXTL3	EXTL3
PFN4	TP53I3
P2RY8	P2RY8
CYP11A1	CYP11A1
SCARF2	SCARF2
KLC1	KLC1
CARD11	CARD11
GLI3	GLI3
MEIS2	MEIS2
ARL5A	ARL5A
MAK16	MAK16
NPDC1	NPDC1
COMP	THBS4
SULT1C3	SULT1C3
CRELD2	CRELD2
CYP27A1	CYP27A1
ATP6V1C1	ATP6V1C1
GGCT	GGCT
PHRF1	PHRF1
MICALL2	MICALL2
OGN	OGN
EPC2	EPC2
ADAMTSL2	ADAMTSL2
TMLHE	TMLHE
AP1S3	AP1S3
CYRIB	FAM49B
PTPRZ1	PTPRZ1
NFE2	NFE2
ACMSD	ACMSD
POLR1C	POLR1C
ZNF341	ZNF341
MGAT4C	MGAT4C
CCNF	CCNF
GPKOW	GPKOW
SH3GL3	SH3GL3
GLDC	GLDC
TCEANC	TCEANC
SLC3A1	SLC3A1
SLC16A2	SLC16A2
ZNF710	ZNF710
IK	IK
HMG20A	HMG20A
LONRF3	LONRF3
FBXW10B	CDRT1
OGFR	OGFR
METTL9	METTL9
DEF6	DEF6
COL4A6	COL4A6
FTO	FTO
VPS16	VPS16
CNPY3	CNPY3
DLX4	Dlx4
SYTL3	SYTL3
TSPAN13	TSPAN13
ACVR1C	ACVR1C
SPARCL1	SPARCL1
RMDN3	RMDN3
TENT2	PAPD4
CNOT4	CNOT4
EZR	EZR
GINS2	GINS2
ZBTB5	ZBTB5
CDYL2	CDYL2
EEIG1	FAM102A
ZNF142	ZNF142
TOP3B	TOP3B
TCAP	TCAP
ELOB	ELOB
GBGT1	GBGT1
PNMT	PNMT
SLC9A2	SLC9A2
PGAP3	PGAP3
COL26A1	COL26A1
HSP90AB1	HSP90AB1
NOB1	NOB1
ABHD2	ABHD2
RIMKLB	RIMKLB
AGXT	AGXT
IKZF3	IKZF3
KLHL40	KLHL40
LRRC34	LRRC34
TH	TH
SMARCC2	SMARCC2
POM121C	POM121C
FAM219A	FAM219A
SEMA3B	SEMA3B
SMARCA2	SMARCA2
TMEM231	TMEM231
PDLIM4	PDLIM4
TBL2	TBL2
ZPBP2	ZPBP2
HCN1	HCN1
KCTD21	KCTD21
DCX	DCX
PRNP	PRNP
IL1RL1	IL1RL1
LRRC3C	LRRC3C
RGMB	RGMB
SYNGR1	SYNGR1
GSDMA	GSDMA
SPPL2A	SPPL2A
SERINC3	SERINC3
TVP23A	TVP23A
FEZF1	FEZF1
LIAS	LIAS
PIPOX	PIPOX
SLC22A4	SLC22A5
SERHL2	SERHL
CPNE9	CPNE9
OTOS	OTOS
HSPB2	HSPB2
KDM8	KDM8
IL1RL2	IL1R1
IL1RL2	IL1RL2
SYTL5	SYTL5
SIL1	SIL1
DNAJC2	DNAJC2
PCNA	PCNA
FAM171B	FAM171B
NGLY1	NGLY1
FAM136A	FAM136A
PLK1	PLK1
GABRA5	GABRA5
ACP2	ACP2
CDCA7	CDCA7
GDF5	GDF5
EFHC2	EFHC2
IBTK	IBTK
TBX4	TBX4
LSM8	LSM8
LSM6	LSM6
MAOB	MAOB
PSMC2	PSMC2
XYLT2	XYLT2
SPRED1	SPRED1
TRAP1	TRAP1
STK35	STK35
SEMA3D	SEMA3D
GOLM2	CASC4
CYP27C1	CYP27C1
KCNJ2	KCNJ2
MFNG	MFNG
BUD23	WBSCR22
NIFK	NIFK
EMB	EMB
PPP1R16B	PPP1R16B
BAZ2B	BAZ2B
ADSL	ADSL
PRPS2	PRPS2
LLGL1	LLGL1
YTHDC2	YTHDC2
PCDH7	PCDH7
REST	REST
GGTLC1	GGT2
CSK	CSK
STS	STS
PUDP	PUDP
SCNN1D	SCNN1D
UCKL1	UCKL1
IQUB	IQUB
C1GALT1C1	C1GALT1C1
SH3BGRL	SH3BGRL
MAD2L1	MAD2L1
RAB9B	RAB9B
MAGED4B	NSMCE3
ANLN	ANLN
GBE1	GBE1
ZP4	ZP4
FOXN3	FOXN3
EPB41L5	EPB41L5
ARHGEF28	ARHGEF28
RPH3A	RPH3A
P4HTM	P4HTM
MAPDA	ADAL
XRCC3	XRCC3
CLEC16A	CLEC16A
L3MBTL2	L3MBTL2
MEIOC	MEIOC
MAP2K5	MAP2K5
GRB10	GRB10
OXSM	OXSM
DIXDC1	DIXDC1
GYG1	GYG1
TTI2	TTI2
VENTX	VENTX
VPS26A	VPS26A
ABHD12	ABHD12
ARID1A	ARID1A
GPAT4	GPAT4
GEN1	GEN1
RSU1	RSU1
SIRT3	SIRT3
ZRSR2	ZRSR2
MAP3K1	MAP3K1
GRAMD4	GRAMD4
NUDT16L1	NUDT16L1
CENPO	CENPO
RGS10	RGS10
PFKM	PFKM
B3GNT3	B3GNT3
HDHD5	HDHD5
LIPA	LIPA
RASSF2	RASSF2
GLYR1	GLYR1
ZFAND2B	ZFAND2B
NADK2	NADK2
IL3RA	IL2RG
TMEM242	TMEM242
DPM1	DPM1
KLC4	KLC2
MPZ	MPZ
ACP5	ACP5
SFXN1	SFXN1
XRCC6	XRCC6
TIMM22	TIMM22
CELA2B	CELA2A
TMEM220	TMEM220
PWWP3B	MUM1L1
PTPRA	PTPRA
RNU7-179P	U7
DDI2	DDI2
ASPA	ASPA
ADD2	ADD2
LTO1	ORAOV1
CCR7	CCR7
LUZP1	LUZP1
FZD6	FZD6
ENDOV	ENDOV
FBXO38	FBXO38
JAZF1	JAZF1
RIC8A	RIC8A
SELENOF	SELENOF
CHMP2A	CHMP2A
NAPRT	NAPRT
EPHA1	EPHA1
SPTLC1	SPTLC1
NOLC1	NOLC1
CCP110	CCP110
BDH1	BDH1A
PAXIP1	PAXIP1
SZT2	SZT2
PSEN1	PSEN1
KCNJ16	KCNJ16
TLE3	TLE3
MYADML2	MYADML2
ADCY1	ADCY1
CCDC124	CCDC124
DPYSL4	DPYSL4
ARHGAP44	ARHGAP44
USP42	USP42
FBXL16	FBXL16
CDC26	CDC26
TRAPPC5	TRAPPC5
NDUFB10	NDUFB10
PKN1	PKN3
CAD	CAD
RAB26	RAB26
ESYT3	ESYT3
ZC3HAV1	ZC3HAV1
VAV2	VAV2
NRP1	NRP1
AGRN	AGRN
GLIS2	GLIS2
MT1A	MT4
CPNE4	CPNE4
PYDC1	CASP14
PYDC1	CASP18
PRR5L	PRR5L
NUP205	NUP205
MC1R	MC1R
MNT	MNT
SLC9A5	SLC9A5
TNIP1	TNIP1
TMEM101	TMEM101
DDX49	DDX49
FAM86B1	EEF2KMT
GAS7	GAS7
GALC	GALC
PECR	PECR
SLC7A6OS	SLC7A6OS
IGFBP2	IGFBP2
MT1G	MT4
ZDHHC2	ZDHHC2
GFOD2	GFOD2
DBI	DBI
STMN4	STMN4
AK1	AK1
C6orf89	C6orf89
TM4SF5	TM4SF1a
FOXJ1	FOXJ1
LIMD1	LIMD1
IGFBP7	IGFBP7
PIP4K2B	PIP4K2B
LHCGR	LHCGR
PWWP3A	MUM1L1
NME6	NME6
INTS12	INTS12
CDT1	CDT1
KRT222	KRT222
EIF2S1	EIF2S1
STK16	STK16
ESRP2	ESRP2
MRPL32	MRPL32
PDIA4	PDIA4
SPTLC2	SPTLC2
TYMP	TYMP
ASB11	ASB11
VRK3	VRK3
SLC1A1	SLC1A1
HIVEP3	HIVEP3
SLITRK4	SLITRK4
SOS1	SOS1
ATP6V0C	ATP6V0C
SLC9A6	SLC9A6
GUCA2B	GUCA2B
