Gene.name	Human.gene.name
EML1	EML1
WDR26	WDR26
CCK	CCK
DNAJC8	DNAJC8
PLP1	PLP1
KIF23	KIF23
YIPF5	YIPF5
SNRK	SNRK
KCTD16	KCTD16
SPATA18	SPATA18
CREBBP	CREBBP
THG1L	THG1L
SOX30	SOX30
FAM198A	GASK1A
TMEM42	TMEM42
MEX3B	MEX3B
CHMP1B	CHMP1B
EIF1B	EIF1B
MRPS34	MRPS34
DCUN1D1	DCUN1D1
CNIH4	CNIH4
TRIT1	TRIT1
BNC2	BNC2
UBE2J2	UBE2J2
ENOX2	ENOX2
TCEA3	TCEA3
ADCY9	ADCY9
FAM132A	C1QTNF12
SGCB	SGCB
EVL	EVL
PTPRA	PTPRA
FBLIM1	FBLIM1
LRRC66	LRRC66
SLC25A14	SLC25A14
ASAP3	ASAP3
NR2F2	NR2F2
ROGDI	ROGDI
DCUN1D4	DCUN1D4
DEGS2	DEGS2
GLIS2	GLIS2
SPEN	SPEN
NVL	NVL
CNTLN	CNTLN
E2F2	E2F2
PAM16	PAM16
YY2	YY1
RAB33A	RBMX2
DEGS1	DEGS1
CWH43	CWH43
MRPS26	MRPS26
ZBTB17	ZBTB17
GRIK3	GRIK3
MARS2	MARS2
H2AFYMACROH2A1	MACROH2A1
VPS41	VPS41
EHBP1	EHBP1
OXT	AVP
OXT	OXT
ATP11B	ATP11B
FBXO28	FBXO28
HOMER2	HOMER2
TMEM129	TMEM129
OTX1	OTX1
FRYL	FRYL
AIFM1	AIFM1
GNL2	GNL2
HSPB7	HSPB7
TP53BP2	TP53BP2
WDPCP	WDPCP
VASN	VASN
FAM103A1	RAMACL
FAM103A1	RAMAC
SOX2	SOX2
DNALI1	DNALI1
GRIA1	GRIA1
SNIP1	SNIP1
DNAJC19	DNAJC19
BCORL1	BCORL1
SLBP	SLBP
TRPM3	TRPM3
SLC25A47	SLC25A47
GRXCR2	GRXCR2
KIAA1143	KIAA1143
DNAJA3	DNAJA3
MDH1	MDH1
CAPN2	CAPN2
SH3RF2	SH3RF2
LARS	LARS1
FAM53A	FAM53A
POU6F2	POU6F2
OCIAD2	OCIAD1
BTBD1	BTBD1
NMRAL1	NMRAL1
EGR1	EGR1
ADRA2C	ADRA2C
XKRX	XKR3
XKRX	XKRX
FXR1	FXR1
EPHA2	EPHA2
SMIM3	SMIM3
TRANK1	TRANK1
CAPN8	CAPN8
SLC25A29	SLC25A29
ZAR1	ZAR1
UBE4B	UBE4B
TM6SF1	TM6SF1
WARS	WARS1
CASS4	CASS4
DCTN4	DCTN4
LRPAP1	LRPAP1
SLC10A4	SLC10A4
SKIL	SKIL
NLRC3	NLRC3
MEAF6	MEAF6
NOX1	NOX1
BPIL3	BPIFB3
SUSD4	SUSD4
GPR141	GPR141
RBM22	RBM22
	RIMBP3B
	RIMBP3
	RIMBP3C
PRKCI	PRKCI
DOK7	DOK7
SYNPO	SYNPO
CLUAP1	CLUAP1
WDR25	WDR25
CSTF2	CSTF2
RTN4	RTN4
KIF1B	KIF1B
DNASE1	DNASE1
	SHROOM4
LIN28A	LIN28A
C7orf26	INTS15
BMP15	BMP15
PGD	PGD
ELMO1	ELMO1
C4orf48	NICOL1
ARHGAP26	ARHGAP26
PHC3	PHC3
	NICOL1
CENPS	CENPS
NAA60	NAA60
NELFA	NELFA
TRMT12	TRMT12
AIM1L	CRYBG2
BEGAIN	BEGAIN
HDGFRP3	HDGFL3
SYTL4	SYTL4
DFFA	DFFA
NUDT16L1	NUDT16L1
SRPX2	SRPX2
NR3C1	NR3C1
DLK1	DLK1
GPR160	GPR160
EML6	EML6
AOAH	AOAH
SLAIN2	SLAIN2
GALNT10	GALNT10
BNC1	BNC1
TSPAN6	TSPAN6
PEX14	PEX14
C14ORF39	C14orf39
TNMD	TNMD
MTIF2	MTIF2
CTNNA2	CTNNA2
CDIP1	CDIP1
CLBA1	CLBA1
PDGFRB	PDGFRB
DISP1	DISP1
PPP2R5C	PPP2R5C
ANLN	ANLN
DISP3	DISP3
LRRTM1	LRRTM1
HMOX2	HMOX2
SLC9A1	SLC9A1
GUCA2B	GUCA2B
BROX	BROX
SEC62	SEC62
WDTC1	WDTC1
RPL14	RPL14
TMEM222	TMEM222
CSF1R	CSF1R
FOXI3	FOXI2
VSIG4	VSIG4
ENTPD3	ENTPD3
SYTL1	SYTL1
SH3GL3	SH3GL3
LRRC31	LRRC31
HMGXB3	HMGXB3
MAP3K6	MAP3K6
GGCT	GGCT
SCARNA8	SCARNA8
EIF2AK3	EIF2AK3
SAMD7	SAMD7
LACTBL1	LACTBL1
AIDA	AIDA
DYNC1H1	DYNC1H1
CCDC88A	CCDC88A
HEPH	HEPH
gga-mir-204-1	MIR204
LRRC34	LRRC34
gga-mir-7-1	MIR7-1
MIA3	SPZ1
EPHB2	EPHB2
TRIM105	TRIM27
WASF2	WASF2
TEC	TEC
AHDC1	AHDC1
TAF1A	TAF1A
NOD1	NOD1
RPIA	RPIA
VSX1	VSX1
FGR	FGR
TXK	TXK
MYNN	MYNN
CFAP36	CFAP36
ZNRF2	ZNRF2
FLT4	FLT4
NIPAL1	NIPAL1
HSP90AA1	HSP90AA1
	CTSV
	CTSL
CNGA1	CNGA1
EDA2R	EDA2R
ENTPD6	ENTPD6
ADAMTSL3	ADAMTSL3
SESN2	SESN2
MTURN	MTURN
UBE2D3	UBE2D3
SUCLG1	SUCLG1
RNF130	RNF130
AR	AR
C1QB	C1QB
PPP4R3B	PPP4R3C
PPP4R3B	PPP4R3B
TMEM251	LYSET
SBK1	SBK1
CDCA4	CDCA4
TJP2	TJP2
FUNDC2	FUNDC2
UBR7	UBR7
MAL	MAL
TBC1D9B	TBC1D9B
BTBD7	BTBD7
MTCP1	MTCP1
MTCP1	TCL1B
MTCP1	TCL1A
SPTBN1	SPTBN1
TMEM179	TMEM179
SAXO2	SAXO2
CISD2	CISD2
MECOM	MECOM
MRNIP	MRNIP
PPM1A	PPM1A
EAF1	EAF1
C1QC	C1QC
SQSTM1	SQSTM1
CMC4	CMC4
MRPS5	MRPS5
WHSC1	NSD2
AXIN1	AXIN1
CCDC88B	CCDC88C
BRCC3	BRCC3
PDIA2	PDIA2
PLOD2	PLOD2
ACYP2	ACYP2
METTL6	METTL6
RCOR1	RCOR1
ARHGDIG	ARHGDIG
C1QA	C1QA
EFL1	EFL1
SLC9B2	SLC9B2
SLC9B2	SLC9B1
GCNA	GCNA
LETM1	LETM1
PHACTR4	PHACTR4
	ITPRIPL1
MGAT4B	MGAT4B
RGS11	RGS11
EPHA8	EPHA8
C10H15ORF48	C15orf48
SLC30A4	SLC30A4
OGT	OGT
	SLC25A31
SLC25A38	SLC25A38
PRIMA1	PRIMA1
RCC1	RCC1
DHRS7	DHRS7
PSME4	PSME4
FAM234A	FAM234A
FGFR3	FGFR3
SLC8A1	SLC8A1
ZBTB40	ZBTB40
PCNX4	PCNX4
OPRD1	OPRD1
BDH2	BDH2
TAF1	TAF1
TAF1	TAF1L
CANX	CANX
CCR8	CCR8
LUC7L	LUC7L
	CD8A
LTC4S	LTC4S
GINS1	GINS1
GJA4	GJA4
LRRC9	LRRIQ3
LRRC9	LRRC9
CENPE	CENPE
WNT4	WNT4
PERCC1	PERCC1
GJB3	GJB3
EIF4A3	EIF4A3
SQOR	SQOR
CD8A	CD8A
MAML1	MAML1
SLC25A33	SLC25A33
KDM3A	KDM3A
ERLEC1	ERLEC1
C15orf61	C15orf61
CHMP3	CHMP3
SYNE3	SYNE3
RSPH6A	RSPH6A
ASB3	ASB3
PLSCR1	PLSCR1
C4orf47	CFAP96
MALL	MALL
IL9R	IL9R
CLCN7	CLCN7
FAM181A	FAM181A
PLSCR5	PLSCR5
NPHP1	NPHP1
GLRX5	GLRX5
ZFAND2A	ZFAND2A
RNF103	RNF103
LTC4SL	LTC4S
GFER	GFER
ASB2	ASB2
ECI1	ECI1
PDLIM3	PDLIM3
ATL2	ATL2
ZIC4	ZIC4
DNASE1L2	DNASE1L2
RHOG2	ITGB1BP2
CPZ	CPZ
CX3CR1	CX3CR1
DNAH3	DNAH3
RTN1	RTN1
NONO	NONO
SYNGR3	SYNGR3
ZIC1	ZIC1
HP1BP3	HP1BP3
GJB5	GJB5
CCR4	CCR4
BUB1	BUB1
TMEM159	LDAF1
ZMYM3	ZMYM3
PIK3CD	PIK3CD
ZNF598	ZNF598
MAP2K5	MAP2K5
JKAMP	JKAMP
HNRNPLL	HNRNPLL
GLB1	GLB1
TRAF3	TRAF3
L3HYPDH	L3HYPDH
GALM	GALM
GPR135	GPR135
AGTR1	AGTR1
NDUFAB1	NDUFAB1
CLSTN1	CLSTN1
TMPPE	TMPPE
VRK2	VRK2
ZP2	ZP2
BLOC1S6	BLOC1S6
CTNNBIP1	CTNNBIP1
PALB2	PALB2
SRSF7	SRSF7
CRTAP	CRTAP
ANKS4B	ANKS4B
SORBS2	SORBS2
DCTN5	DCTN5
DAAM1	DAAM1
SUSD5	SUSD5
CSMD2	CSMD2
FANCL	FANCL
PLK1	PLK1
CRYM	CRYM
BRF1	BRF1
GJB1	GJB1
LZIC	LZIC
LGALSL	LGALSL
C1orf94	C1orf94
BTBD6	BTBD6
ERN2	ERN2
NCBP2	NCBP2
NCBP2	NCBP2L
SOX8	SOX8
TLR3	TLR3
TMEM108	TMEM108
WDR20	WDR20
COL9A2	COL9A2
UQCRC2	UQCRC2
AFTPH	AFTPH
NMNAT1	RBP7
FAM149A	FAM149A
CPB1	CPB1
SKOR1	SKOR1
SRSF7L	SRSF7
MOK	MOK
CYP4V2	CYP4V2
SLC35F4	SLC35F4
PIGZ	PIGZ
BFSP2	BFSP2
BCL11A	BCL11A
CDV3	CDV3
SMAP2	SMAP2
C14orf105	CCDC198
DHX57	DHX57
RIMS3	RIMS3
NFYC	NFYC
CARD11	CARD11
NAA30	NAA30
ZNF839	ZNF839
ITGAD	ITGAX
STK26	STK26
MORN2	MORN2
TOPBP1	TOPBP1
KCNQ4	KCNQ4
AP5M1	AP5M1
CINP	CINP
UBFD1	UBFD1
TINAGL1	TINAGL1
FRMD7	FRMD7
ARHGEF33	ARHGEF33
EARS2	EARS2
SPPL2A	SPPL2A
NOC2L	NOC2L
PEF1	PEF1
RAP2C	RAP2C
MELTF	MELTF
GGA2	GGA2
TECPR2	TECPR2
COL16A1	COL16A1
EXOC5	EXOC5
CARHSP1	CARHSP1
COG7	COG7
PIAS1	PIAS1
PMM2	PMM2
NRXN1	NRXN1
CCR5	CCR5
CCR5	CCR2
CCR5	CCRL2
CCR5	CCR1
CCR5	CCR3
SOS1	SOS1
INF2	INF2
IL21R	IL21R
ADGRB2	ADGRB2
DACT1	DACT1
SCNN1G	SCNN1G
USP31	USP31
TRPM7	TRPM7
LHCGR	LHCGR
ANKRD9	ANKRD9
HS3ST2	HS3ST2
TMEM186	TMEM186
SAMD11	SAMD11
GTF2A1L	GTF2A1L
PTP4A2	PTP4A2
MAP4K3	MAP4K3
CALML4	CALML4
HS3ST4	HS3ST4
ADSS1	ADSS1
KHDRBS1	KHDRBS1
TACC1	TACC1
STON1	STON1
CLN6	CLN6
FGFR1	FGFR1
KDM8	KDM8
THUMPD2	THUMPD2
ABAT	ABAT
MBNL3	MBNL3
SIVA1	SIVA1
TA3	KIAA0586
DLG1	DLG1
RERE	RERE
GM2A	GM2A
TMEM39B	TMEM39B
	TACC1
CCR2	CCR5
CCR2	CCR2
CCR2	CCRL2
CCR2	CCR1
CCR2	CCR3
GPCPD1	GPCPD1
FEM1B	FEM1B
NSMCE1	NSMCE1
EHD3	EHD3
METTL22	METTL22
ENO1	ENO1
AKT1	AKT1
CD8BP	CD8B
CD8BP	CD8B2
ERLIN2	ERLIN2
CAPN14	CAPN14
TMEM114	TMEM114
IL4R	IL4R
RP1-27O5.3	ZBTB8B
BDH1A	BDH1
GALNT14	GALNT14
USP8	USP8
MARCKSL1	MARCKSL1
CA6	CA6
ARID4A	ARID4A
HS6ST2	HS6ST2
PROSC	PLPBP
	ZMAT1
DDX24	DDX24
CRAMP1	CRAMP1
VDAC1	VDAC1
BRF2	BRF2
CCR8L	CCR8
SLC22A5	SLC22A5
SLC22A5	SLC22A4
CPXM1	CPXM1
GPC4	GPC4
SLC2A5	SLC2A5
ITGA11	ITGA11
XCR1	XCR1
IFT140	IFT140
EPN2	EPN2
GPC3	GPC3
RAB11FIP1	RAB11FIP1
ZIC3	ZIC3
	NAT8
HDAC1	HDAC1
CHGB	CHGB
B9D1	B9D1
GPR157	GPR157
TMEM204	TMEM204
APOD	APOD
H6PD	H6PD
PSMA3	PSMA3
TELO2	TELO2
CACNA1H	CACNA1H
FYCO1	FYCO1
RNPS1	RNPS1
FGF13	FGF13
ACTR10	ACTR10
DRG2	DRG2
ADRB3	ADRB3
PPP4R4	PPP4R4
SPSB1	SPSB1
LCK	LCK
F9	F9
UNCX	UNCX
CAPN13	CAPN13
TRMT6	TRMT6
GABPB1	GABPB1
ARMH4	ARMH4
PPP1R2	PPP1R2
PPP1R2	PPP1R2B
CCR9	CCR9
ZMAT4	ZMAT4
	C8orf33
FAM167B	FAM167B
SERPINA10	SERPINA10
MCM8	MCM8
PPP1R36	PPP1R36
SH3BP2	SH3BP2
TMEM234	TMEM234
SPIA4	SERPINA4
SFRP1	SFRP1
AMDHD2	AMDHD2
HSPA2	HSPA2
CRLS1	CRLS1
LZTFL1	LZTFL1
EIF3I	EIF3I
STUM	STUM
ATP6V0C	ATP6V0C
MCF2	MCF2
SSTR5	SSTR5
DCDC2B	DCDC2B
CORO2B	CORO2B
IQCC	IQCC
LBH	LCLAT1
C1QTNF8	C1QTNF8
SLC6A20	SLC6A20
SCNN1B	SCNN1B
CCDC28B	CCDC28B
YPEL5	YPEL5
TBC1D24	TBC1D24
NT5M	NT5M
PARP1	PARP1
SNRPD1	SNRPD1
ACAP2	ACAP2
NAT8B	NAT8
MED9	MED9
TNFRSF8	TNFRSF8
U1	RNU1-16P
U1	RNU1-51P
U1	U1
U1	RNU1-8P
U1	RNU1-142P
U1	RNU1-91P
U1	RNU1-64P
gga-mir-383	MIR383
RASD1	RASD1
HDC	HDC
TNIP2	TNIP2
TXLNA	TXLNA
AAK1	AAK1
LIN9	LIN9
PEMT	PEMT
NTN3	NTN3
ZBTB1	ZBTB1
MIIP	MIIP
XXYLT1	XXYLT1
ACBD3	ACBD3
	SERPINA4
PLEKHA2	PLEKHA2
RTP2	RTP2
RTP2	RTP5
RAI1	RAI1
MFN2	MFN2
TLR1B	TLR6
SACM1L	SACM1L
MIXL1	MIXL1
FAM193A	FAM193A
ATP11C	ATP11C
LIMD1	LIMD1
GSC	GSC
MANBA	MANBA
KPNA6	KPNA6
EIF4G1	EIF4G1
SREBF1	SREBF1
PLOD1	PLOD1
ZBTB25	ZBTB25
SDE2	SDE2
DICER1	DICER1
NFU1	NFU1
RNF4	RNF4
ARL13A	ARL13A
LEFTY1	LEFTY2
LEFTY1	LEFTY1
TM2D2	TM2D2
FAM155B	NALF2
LARS2	LARS2
EDA	EDA
FAM131A	FAM131A
CELA2A	CELA2B
CELA2A	CELA2A
TOM1L2	TOM1L2
ANP32A	ANP32D
ANP32A	ANP32A
DUSP10	DUSP10
CFAP99	CFAP99
SLC30A10	SLC30A10
ALK	ALK
TSSK3	TSSK3
CDCP1	CDCP1
CLMN	CLMN
DRC3	DRC3
ADAM9	ADAM9
	CCNB1
DYNC1LI1	DYNC1LI1
CLCN2	CLCN2
AKAP5	AKAP5
CLPX	CLPX
BSDC1	BSDC1
P3H2	P3H2
LYPLAL1	LYPLAL1
EFCAB11	EFCAB11
CLCN6	CLCN6
MTHFD1	MTHFD1
	TEDC2
ZFYVE28	ZFYVE28
MB21D2	MB21D2
NOX5	NOX5
ATPAF2	ATPAF2
ESR2	ESR2
GID4	GID4
MTHFR	MTHFR
CEP68	CEP68
CCNF	CCNF
TDP1	TDP1
CNOT10	CNOT10
IGBP1	IGBP1C
IGBP1	IGBP1
KCNK13	KCNK13
MXD4	MXD4
VRK3	VRK3
SLC7A14	SLC7A14
CYP3A5	CYP3A4
CYP3A5	CYP3A7
CYP3A5	CYP3A43
CYP3A5	CYP3A5
GATM	GATM
GFPT1	GFPT1
RBBP4	RBBP4
TRIM71	TRIM71
PSMC1	PSMC1
CLDN11	CLDN11
HAUS3	HAUS3
AGTRAP	AGTRAP
PDCD7	PDCD7
POLN	POLN
UBAP1L	UBAP1L
SYNE2	SYNE2
RAB1B	RAB1A
YBX1	YBX1
COPS7B	COPS7B
NRDE2	NRDE2
NAT8L	NAT8L
HLX	HLX
PPIH	PPIH
NPPC	NPPC
ZBTB8OS	ZBTB8OS
GFRA2	GFRA2
P2RY4	P2RY4
GPRC5B	GPRC5B
MTARC1	MTARC2
CALM1	CALM1
RBBP6	RBBP6
SYNC	SYNC
MAEA	MAEA
ITGA9	ITGA9
PPCS	PPCS
C3H1ORF115	C1orf115
KBTBD13	KBTBD13
	KNOP1
FSD2	FSD2
DIS3L2	DIS3L2
WHAMM	WHAMM
TNRC6A	TNRC6A
CLIP4	CLIP4
KIAA1522	NHSL3
GOLGA4	GOLGA4
ZMYND12	ZMYND12
CTBP1	CTBP1
C2orf71	PCARE
SLC2A1	SLC2A1
FAM179A	TOGARAM2
ANTXR1	ANTXR1
SPRED2	SPRED2
WDR89	SGPP1
SPON2	SPON2
WDR43	WDR43
YARS	YARS1
RASL12	RASL12
ALPI	ALPI
ALPI	ALPG
ALPI	ALPP
MYO15A	MYO15A
TRMT61B	TRMT61B
PHC2	PHC2
TTC7B	TTC7B
SPDYA	SPDYA
RNF212	RNF212
ARR3	ARR3
LZTS1	LZTS1
EPCAM	EPCAM
MTFMT	MTFMT
ATP6V1B2	ATP6V1B2
FNDC5	FNDC5
SLC18A1	SLC18A1
HPCA	HPCA
ADAM32	ADAM32
RNF19B	RNF19B
C16orf62	VPS35L
PPP2R5E	PPP2R5E
ECEL1	ECEL1
RPS6KA5	RPS6KA5
ZNF362	ZNF362
MAK16	MAK16
FGFRL1	FGFRL1
AK2	AK2
MEIS1	MEIS1
RAB41	RAB41
LRRFIP2	LRRFIP2
MSH2	MSH2
ALKBH5	ALKBH5
ATAD3B	ATAD3A
CILP	CILP
GPHB5	GPHB5
LLGL1	LLGL1
ATOH8	ATOH8
ADAM32L1	ADAM32
VWA1	VWA1
KCNK12	KCNK12
FLII	FLII
TTI2	TTI2
AZIN2	AZIN2
MIEF2	MIEF2
TARP	TRGV8
TARP	TRGV3
TARP	TRGV11
TARP	TRGC2
TARP	TRGV1
TARP	TRGV9
TARP	TRGV10
TARP	TRGC1
TARP	TRGV2
TARP	TRGV5
TARP	TRGV4
RHOJ	RHOJ
TRIM62	TRIM62
TOP3A	TOP3A
ADAM32L2	ADAM32
NDUFS5	NDUFS5
MRPL20	MRPL20
	TRGV8
	TRGV3
	TRGV11
	TRGC2
	TRGV1
	TRGV9
	TRGV10
	TRGC1
	TRGV2
	TRGV5
	TRGV4
SMCR8	SMCR8
C14orf159	DGLUCY
KCNH5	KCNH5
ETAA1	ETAA1
SHMT1	SHMT1
MSH6	MSH6
DUSP26	DUSP26
ST3GAL5	ST3GAL5
GNRHR	GNRHR
PDZD11	PDZD11
C1D	C1D
EIF2B5	EIF2B5
SVBP	SVBP
PARP16	PARP16
FBXO11	FBXO11
POLR1A	POLR1A
IGDCC3	IGDCC3
SYT16	SYT16
DNAAF10	DNAAF10
KIF4B	KIF4A
FOXN2	FOXN2
PTCD3	PTCD3
PNO1	PNO1
DVL2	DVL3
ASH2L	ASH2L
PRPSAP2	PRPSAP2
GPR4	GPR68
PPP3R1	PPP3R1
SNAPC1	SNAPC1
TAF9	TAF9
CYP26C1	CYP26C1
IGDCC4	IGDCC4
STAR	STAR
SLC5A10	SLC5A10
KAZALD1	KAZALD1
CNRIP1	CNRIP1
IMMT	IMMT
R3HCC1L	R3HCC1L
CCNL2	CCNL2
LSM1	LSM1
FAM83G	FAM83G
MACF1	MACF1
MXI1	MXI1
PPP1R21	PPP1R21
BAG4	BAG4
GRAPL	GRAP
GRAPL	GRAPL
SMNDC1	SMNDC1
DUSP5	DUSP5
DPP8	DPP8
CELA3B	CELA3B
CELA3B	CELA3A
MRPL35	MRPL35
SFRP5	SFRP5
C16orf52	MOSMO
HIF1A	HIF1A
HACD3	HACD3
	ZAN
DDHD2	DDHD2
VWA9	INTS14
PRKCH	PRKCH
REEP1	REEP1
SLC38A6	SLC38A6
SLC24A1	SLC24A1
FLRT2	FLRT2
BMP8A	BMP8B
BMP8A	BMP8A
VWA3A	VWA3A
PPIE	PPIE
YAE1D1	YAE1
PLPP5	PLPP5
PABPC4	PABPC4
TRNP1	TRNP1
DENND4A	DENND4A
PLEK	PLEK
POU3F1	POU3F1
POU3F1	POU5F2
POU3F1	POU5F1B
POU3F1	POU5F1
	SDR42E2
B3GNT2	B3GNT2
GALC	GALC
WHSC1L1	NSD3
CYP3A4	CYP3A4
CYP3A4	CYP3A7
CYP3A4	CYP3A43
CYP3A4	CYP3A5
FBXO48	FBXO48
TRMT5	TRMT5
LETM2	LETM2
SDR42E2	SDR42E2
FASTKD5	FASTKD5
GPR65	GPR65
EXOC6	EXOC6
CYSLTR1	CYSLTR1
PRSS56	PRSS56
UBOX5	UBOX5
RALA	RALA
APLF	APLF
CHRND	CHRND
RAB11A	RAB11A
HSPG2	HSPG2
COMMD1	COMMD1
CHRNG	CHRNG
CDK13	CDK13
KCNK10	KCNK10
LZTS3	LZTS3
DDRGK1	DDRGK1
PROKR1	PROKR2
PROKR1	PROKR1
MPLKIP	MPLKIP
ANAPC1	ANAPC1
GOLGA7B	GOLGA7B
KAT6A	KAT6A
MNAT1	MNAT1
SLC9A3R2	NHERF2
MEGF11	MEGF11
EIF4E2	EIF4E2
VAX1	VAX1
NTHL1	NTHL1
BFSP1	BFSP1
SIX5	SIX4
AP3M2	AP3M2
SPATA7	SPATA7
MERTK	MERTK
PCSK2	PCSK2
TSC2	TSC2
SIX1	SIX1
PTPN21	PTPN21
DIS3L	DIS3L
PTGDR	PTGDR
PLAT	PLAT
SFXN3	SFXN3
FBLN7	FBLN7
PTGER2	PTGER2
IKBKB	IKBKB
TIPIN	TIPIN
THUMPD1	THUMPD1
CAPN10	CAPN10
PDZD7	PDZD7
TXNDC16	TXNDC16
LPAR4	LPAR4
ACSM3	ACSM3
RNPEPL1	RNPEPL1
PKD1	PKD1
MXRA8	MXRA8
GPR137C	GPR137C
	P2RY10
SLC4A11	SLC4A11
ABCC5	ABCC5
ERI2	ERI2
RAB26	RAB26
REXO5	REXO5
ZC3H14	ZC3H14
SLC2A9L	SLC2A7
MAP2K1	MAP2K1
TRAF7	TRAF7
ZC3H8	ZC3H6
CDC42BPA	CDC42BPA
DCUN1D3	DCUN1D3
DNAAF9	DNAAF9
ABCF3	ABCF3
VDAC3	VDAC3
LIPA	LIPA
DVL1	DVL1
LYRM1	LYRM1
IFIT5	IFIT3
IFIT5	IFIT5
IFIT5	IFIT1
IFIT5	IFIT2
IFIT5	IFIT1B
NAPB	NAPB
SNAPC5	SNAPC5
ATRN	ATRN
XPO6	XPO6
TAS1R3	TAS1R3
CPTP	CPTP
CCDC39	CCDC39
EML5	EML5
POLB	POLB
ERO1A	ERO1A
COQ8A	COQ8A
ITM2A	ITM2A
RPL4	RPL4
GZF1	GZF1
TTC14	TTC14
ZWILCH	ZWILCH
PSMC6	PSMC6
INTS11	INTS11
PSEN2	PSEN2
CAPN15	CAPN15
GFRA4	GFRA4
SUGCT	SUGCT
GNPNAT1	GNPNAT1
DIAPH2	DIAPH2
SMAD6	SMAD6
PEX5L	PEX5L
SSTR4	SSTR4
ITPKC	ITPKB
CASKIN1	CASKIN1
NDUFAF5	NDUFAF5
GOLGA7	GOLGA7
DECR2	DECR2
TTC8	TTC8
ADAM33	ADAM33
GPAT4	GPAT4
TUNAR	TUNAR
MLST8	MLST8
FOXA2	FOXA2
NKX6-3	NKX6-3
BRICD5	BRICD5
DIO3	DIO3
RAB11FIP3	RAB11FIP3
PAX1	PAX1
PGP	PGP
ALMS1	ALMS1
TASP1	TASP1
PCDH11X	PCDH11X
PCDH11X	PCDH11Y
E4F1	E4F1
EGR4	EGR4
SMAD3	SMAD3
ZDHHC4	ZDHHC4
BTRC	BTRC
CFAP65	CFAP65
NKX2-2	NKX2-2
KLHL4	KLHL4
GRID2IP	GRID2IP
FERMT2	FERMT2
USP13	USP13
FBXO41	FBXO41
NKX2-4	NKX2-4
SEPTIN12	SEPTIN12
NDUFB5	NDUFB5
CHPF	CHPF
DDHD1	DDHD1
MRPL47	MRPL47
ISM1	ISM1
XRN2	XRN2
PITPNC1L	PITPNC1
AAGAB	AAGAB
SLC16A12	SLC16A12
FBXL2	FBXL2
CCT7	CCT7
DACH2	DACH2
MSS51	MSS51
SLC5A11	SLC5A11
ACTL6A	ACTL6A
BMP4	BMP4
KIF20B	KIF20B
PRADC1	PRADC1
CYP17A1	CYP17A1
GNB4	GNB4
SPTLC3	SPTLC3
UBP1	UBP1
MIS18BP1	MIS18BP1
IQCH	IQCH
ANK1	ANK1
	SNORD99
BTBD3	BTBD3
BORCS7	BORCS7
	SNORA16A
	SNORA16B
	SNORA55
KIZ	KIZ
GMPPA	GMPPA
CFAP70	CFAP70
FANCM	FANCM
C7orf62	TEX47
SLC24A5	SLC24A5
SNORA73	SNORA73
JAG1	JAG1
AS3MT	AS3MT
SMYD5	SMYD5
RASSF2	RASSF2
RALGAPA2	RALGAPA2
CHM	CHML
CHM	CHM
gga-mir-30e	MIR30E
gga-mir-30c-1	MIR30C1
USP48	USP48
MFN1	MFN1
OSCP1	OSCP1
WDR90	WDR90
PRNP	PRNP
SLX4IP	SLX4IP
CFAP61	CFAP61
PDCD4	PDCD4
GNOT2	NOTO
ADPRHL2	ADPRS
PROM2	PROM2
ZNF711	ZNF711
ZNF639	ZNF639
ARHGAP17	ARHGAP17
PUSL1	PUSL1
INSM1	INSM1
POF1B	POF1B
BBIP1	BBIP1
MKKS	MKKS
CRNKL1	CRNKL1
HEYL	HEYL
RHOT2	RHOT2
FKBP3	FKBP3
PIK3CA	PIK3CA
SHOC2	SHOC2
RAB11FIP5	RAB11FIP5
RHBDL1	RHBDL1
DES	DES
ACAP3	ACAP3
DPYSL2	DPYSL2
APOOL	APOOL
NKX2-3	NKX2-3
FAM179B	PRPF39
MYEF2	MYEF2
SLC24A3	SLC24A3
CLASP2	CLASP2
ZMAT3	ZMAT3
STUB1	STUB1
NT5C1A	NT5C1A
GOT1	GOT1
LCMT1	LCMT1
SNAP25	SNAP25
ANKEF1	ANKEF1
AQP8	AQP8
JMJD8	JMJD8
TMEM151B	TMEM151B
FAM76A	FAM76A
DNPEP	DNPEP
BNIP3L	BNIP3L
SFXN5	SFXN5
WDR24	WDR24
CTXN2	CTXN2
FAM179B	TOGARAM1
KCNMB2	KCNMB2
CNNM1	CNNM1
RIN2	RIN2
AARS2	AARS2
PRKCB	PRKCB
ADRA1A	ADRA1A
FBXL16	FBXL16
CACNG3	CACNG3
ASIC4	ASIC4
EMX1	EMX1
TCTE1	TCTE1
HPSE2	HPSE2
MARCH4	MARCHF4
PAK5	PAK5
ZBTB8A	ZBTB8A
ANXA4	ANXA4
NLGN3	NLGN3
HPS1	HPS1
PYGB	PYGB
RAP1GAP1	RAP1GAP
ARPP21	ARPP21
SRBD1	SRBD1
SLC20A1	SLC20A1
C16orf72	HAPSTR2
METRN	METRN
LAMP5	LAMP5
SPR	SPR
NT5DC4	NT5DC4
SMC3	SMC3
SLC12A1	SLC12A1
STAC	STAC
PRKCE	PRKCE
KLHL28	KLHL28
MED12	MED12
TBL1XR1	TBL1XR1
FAM173A	ANTKMT
LRFN5	LRFN5
ABHD12	ABHD12
CKAP2L	CKAP2L
CCDC78	CCDC78
